fips,choice,votes
20001,No,1816
20001,Yes,1836
20003,No,950
20003,Yes,1418
20005,No,2449
20005,Yes,2472
20007,No,458
20007,Yes,998
20009,No,3275
20009,Yes,4022
20011,No,1662
20011,Yes,2335
20013,No,1255
20013,Yes,1599
20015,No,10707
20015,Yes,10883
20017,No,527
20017,Yes,566
20019,No,307
20019,Yes,611
20021,No,1539
20021,Yes,2661
20023,No,247
20023,Yes,556
20025,No,257
20025,Yes,473
20027,No,1238
20027,Yes,1690
20029,No,1079
20029,Yes,1620
20031,No,1501
20031,Yes,1689
20033,No,304
20033,Yes,536
20035,No,4633
20035,Yes,4240
20037,No,5582
20037,Yes,4520
20039,No,347
20039,Yes,536
20041,No,2650
20041,Yes,3060
20043,No,826
20043,Yes,1433
20045,No,36549
20045,Yes,8461
20047,No,367
20047,Yes,565
20049,No,383
20049,Yes,497
20051,No,3953
20051,Yes,5447
20053,No,823
20053,Yes,1039
20055,No,3225
20055,Yes,3535
20057,No,2573
20057,Yes,2784
20059,No,4863
20059,Yes,3836
20061,No,3132
20061,Yes,1984
20063,No,182
20063,Yes,685
20065,No,295
20065,Yes,494
20067,No,469
20067,Yes,867
20069,No,486
20069,Yes,1038
20071,No,153
20071,Yes,236
20073,No,963
20073,Yes,957
20075,No,195
20075,Yes,244
20077,No,721
20077,Yes,947
20079,No,6381
20079,Yes,5667
20081,No,276
20081,Yes,569
20083,No,197
20083,Yes,508
20085,No,2338
20085,Yes,2150
20087,No,3643
20087,Yes,2946
20089,No,318
20089,Yes,644
20091,No,166060
20091,Yes,76767
20093,No,301
20093,Yes,519
20095,No,999
20095,Yes,1763
20097,No,273
20097,Yes,503
20099,No,2454
20099,Yes,2611
20101,No,243
20101,Yes,364
20103,No,14385
20103,Yes,9867
20105,No,344
20105,Yes,677
20107,No,1270
20107,Yes,1830
20109,No,291
20109,Yes,674
20111,No,6037
20111,Yes,3562
20113,No,4448
20113,Yes,5267
20115,No,1652
20115,Yes,2517
20117,No,1397
20117,Yes,1932
20119,No,349
20119,Yes,759
20121,No,6224
20121,Yes,5651
20123,No,766
20123,Yes,1355
20125,No,3172
20125,Yes,4301
20127,No,963
20127,Yes,970
20129,No,202
20129,Yes,435
20131,No,989
20131,Yes,2941
20133,No,1992
20133,Yes,2443
20135,No,268
20135,Yes,689
20137,No,547
20137,Yes,953
20139,No,3041
20139,Yes,2355
20141,No,387
20141,Yes,814
20143,No,780
20143,Yes,1220
20145,No,844
20145,Yes,1067
20147,No,517
20147,Yes,1132
20149,No,3994
20149,Yes,5184
20151,No,1282
20151,Yes,1526
20153,No,280
20153,Yes,713
20155,No,9142
20155,Yes,9307
20157,No,577
20157,Yes,982
20159,No,1118
20159,Yes,1568
20161,No,11560
20161,Yes,5336
20163,No,602
20163,Yes,1151
20165,No,480
20165,Yes,652
20167,No,1033
20167,Yes,1245
20169,No,9202
20169,Yes,7443
20171,No,484
20171,Yes,959
20173,No,81134
20173,Yes,59540
20175,No,1318
20175,Yes,1328
20177,No,41654
20177,Yes,21411
20179,No,222
20179,Yes,797
20181,No,612
20181,Yes,981
20183,No,420
20183,Yes,925
20185,No,590
20185,Yes,796
20187,No,121
20187,Yes,266
20189,No,283
20189,Yes,781
20191,No,3277
20191,Yes,3664
20193,No,797
20193,Yes,1701
20195,No,385
20195,Yes,715
20197,No,1346
20197,Yes,1549
20199,No,89
20199,Yes,435
20201,No,510
20201,Yes,1453
20203,No,147
20203,Yes,534
20205,No,1015
20205,Yes,1310
20207,No,404
20207,Yes,603
20209,No,22767
20209,Yes,7964